birth_index,death_index,person,birthplace,birth_id,dyear,deathplace,death_id,birth_iso,birth_country,death_iso,death_country,placeflow1,placeflow2,placeflow3,placeflow4,placeflow5,placeflow6,placeflow7,placeflow8,placeflow9,placeflow10,placeflow11,placeflow12,countryflow1,countryflow2,countryflow3,countryflow4,countryflow5,countryflow6,countryflow7,countryflow8,countryflow9,countryflow10,countryflow11,countryflow12,birth_gross,death_gross,birth_show,death_show
"place001","place001","NA","Montreal","m052p7",,"Montreal","m052p7","CAN","Canada","CAN","Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,215,1,1
"place001","place002","Zoé Laurier","Montreal","m052p7",1921,"Ottawa","m05ksh","CAN","Canada","CAN","Canada",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,306,0,215,139,1,0
"place001","place003","NA","Montreal","m052p7",,"Toronto","m0h7h6","CAN","Canada","CAN","Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,285,1,1
"place001","place005","NA","Montreal","m052p7",,"Atlanta","m013yq","CAN","Canada","USA","USA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,138,1,0
"place001","place006","NA","Montreal","m052p7",,"Baltimore","m094jv","CAN","Canada","USA","USA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,336,1,1
"place001","place007","Frederick Mackenzie","Montreal","m052p7",1889,"Boston","m01cx_","CAN","Canada","USA","USA",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,215,527,1,1
"place001","place008","NA","Montreal","m052p7",,"Buffalo","m019fh","CAN","Canada","USA","USA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,148,1,0
"place001","place010","NA","Montreal","m052p7",,"California","m01n7q","CAN","Canada","USA","USA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,189,1,0
"place001","place011","NA","Montreal","m052p7",,"Chicago","m01_d4","CAN","Canada","USA","USA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,970,1,1
"place001","place012","NA","Montreal","m052p7",,"Cincinnati","m01snm","CAN","Canada","USA","USA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,294,1,1
"place001","place013","Hy Buller","Montreal","m052p7",1968,"Cleveland","m01sn3","CAN","Canada","USA","USA",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,248,215,244,1,1
